n_Samples,Mean,vMax,vMin
3000,0.4802437785528788,0.4956626652059578,0.45320861218803216
3250,0.47831754777859176,0.4934315233371904,0.4654986230879025
3500,0.48262142164330263,0.497165207606191,0.45947309207697934
3750,0.48017878243079937,0.4981442635422747,0.4560038274554065
4000,0.48513499003358496,0.5046733956460829,0.4645736610717364
4250,0.48347326139562663,0.49859312523591887,0.47006213159912485
4500,0.4832388093137133,0.5045895927274191,0.46367845507345984
4750,0.4957394742595618,0.5115335319356679,0.4750673195429168
5000,0.4944965782731566,0.5128668360738873,0.47982574958969615
5250,0.4919832487815639,0.5054444768522129,0.48272704617286316
5500,0.49572736483998064,0.5115324525161791,0.48359464066614505
5750,0.5004317580880432,0.517234471871904,0.4816488254466922
6000,0.49836336196974296,0.5105263241152193,0.481636992745006
6250,0.49822342525773144,0.5090894550433076,0.48765719254019635
6500,0.5047357311940408,0.5228984592217698,0.49108553844566094
6750,0.5053941681894442,0.518479041211962,0.48833564422870573
7000,0.5035998988668376,0.5336274161103874,0.4794023855535747
7250,0.4986608739073001,0.511078260314261,0.4893304287982716
7500,0.5050208037096809,0.512897748225429,0.4895690088793586
