Axis.1,Axis.2,grp
0.095101654,0.069057866,Young
0.167301084,0.124980171,Aging
-0.216694447,0.223006931,Young
-0.183931516,0.131786541,Young
0.466449258,0.044884671,Aging
-0.182703632,-0.430142559,Young
-0.046861452,-0.32135342,Young
-0.072477162,0.046422179,Young
-0.2083832,0.203628297,Aging
0.473835041,0.083494394,Young
-0.229411086,-0.012508463,Young
0.237114844,0.076850035,Aging
-0.111837282,0.227407068,Aging
0.505371357,0.040439899,Aging
0.491771155,0.011192277,Aging
-0.102253075,0.311890619,Young
-0.231740327,0.289960894,Young
0.258549917,-0.163535268,Aging
0.175419049,-0.092350693,Aging
-0.172822486,-0.218128779,Young
-0.027801771,-0.166934502,Young
-0.249365222,0.039734148,Young
0.407905357,-0.007003623,Aging
-0.179392662,-0.249566316,Young
-0.108060975,-0.527811284,Aging
-0.115677036,0.150884398,Aging
-0.204510631,0.248253192,Aging
-0.213113672,0.2465289,Young
-0.120938384,-0.030391804,Young
-0.130545026,0.109422845,Young
0.016680402,-0.065448613,Aging
-0.186978074,-0.394650002,Young
