,ALE,Abs
Propionibacterium_acidifaciens,20.212792075288935,20.212792075288935
Bifidobacterium_dentium,14.036879973370258,14.036879973370258
Lactobacillus_mucosae,11.713058956782065,11.713058956782065
PWY-7384,10.838571742848343,10.838571742848343
P562-PWY,9.274306500374534,9.274306500374534
PWY-7389,8.707980300806975,8.707980300806975
Lactobacillus_salivarius,8.536558911981455,8.536558911981455
Eubacterium_sulci,6.863604997855612,6.863604997855612
Klebsiella_pneumoniae,6.597228656147029,6.597228656147029
CATECHOL-ORTHO-CLEAVAGE-PWY,6.057621621661573,6.057621621661573
PWY-6151,-3.2658857435282713,3.2658857435282713
BRANCHED-CHAIN-AA-SYN-PWY,-3.441417404744882,3.441417404744882
PWY-5695,-3.5142729674126922,3.5142729674126922
PWY-6700,-3.745465718753687,3.745465718753687
PYRIDNUCSYN-PWY,-3.782642884400119,3.782642884400119
COA-PWY,-4.028285175417201,4.028285175417201
PWY-1042,-4.199759212817061,4.199759212817061
COA-PWY-1,-4.30699952489521,4.30699952489521
PWY-3841,-4.410565257757367,4.410565257757367
1CMET2-PWY,-4.42442967413895,4.42442967413895
