,Pathway,Spearman's Rho,P-value
PWY-1042,PWY-1042: glycolysis IV (plant cytosol),-0.14348777305137977,3.2324176582551113e-47
PWY-7219,PWY-7219: adenosine ribonucleotides de novo biosynthesis,-0.09849649790464464,5.091682203013161e-23
DTDPRHAMSYN-PWY,DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I,-0.16829564848066872,1.590942533098953e-64
PWY-5686,PWY-5686: UMP biosynthesis,-0.09911265714286231,2.734364334090635e-23
PWY-6737,PWY-6737: starch degradation V,-0.10639247327720736,1.3153633983823723e-26
VALSYN-PWY,VALSYN-PWY: L-valine biosynthesis,-0.18933662215568395,1.7657456202732624e-81
ILEUSYN-PWY,ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine),-0.1896867145736101,8.848469208374392e-82
PWY-7111,PWY-7111: pyruvate fermentation to isobutanol (engineered),-0.18363653789114912,1.1200200622727926e-76
PWY-7221,PWY-7221: guanosine ribonucleotides de novo biosynthesis,-0.10664583054609439,9.984497118591002e-27
PWY-6386,PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),-0.09307604756619893,1.022511993401099e-20
PWY-6387,PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing),-0.0903470600256192,1.3179529104299584e-19
PWY-6609,PWY-6609: adenine and adenosine salvage III,-0.04000984529735043,6.199441015346827e-05
PEPTIDOGLYCANSYN-PWY,PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing),-0.0793466211394754,1.832882472467605e-15
TRNA-CHARGING-PWY,TRNA-CHARGING-PWY: tRNA charging,-0.06041204445933235,1.443920678853667e-09
